2022/08/05 23:49:25 >  Using KDC(s):
2022/08/05 23:49:25 >  	windcorp.thm:88
2022/08/05 23:49:25 >  [+] VALID USERNAME:	 edward@windcorp.thm
2022/08/05 23:49:26 >  [+] VALID USERNAME:	 fire@windcorp.thm
2022/08/05 23:49:32 >  [+] VALID USERNAME:	 luis@windcorp.thm
2022/08/05 23:49:43 >  [+] VALID USERNAME:	 administrator@windcorp.thm
2022/08/05 23:49:47 >  [+] VALID USERNAME:	 Edward@windcorp.thm
2022/08/05 23:50:07 >  [+] VALID USERNAME:	 EDWARD@windcorp.thm
2022/08/05 23:50:27 >  [+] VALID USERNAME:	 emile@windcorp.thm
2022/08/05 23:51:21 >  [+] VALID USERNAME:	 Administrator@windcorp.thm
2022/08/05 23:51:28 >  [+] VALID USERNAME:	 Fire@windcorp.thm
2022/08/05 23:51:38 >  [+] VALID USERNAME:	 Luis@windcorp.thm
2022/08/05 23:56:14 >  [+] VALID USERNAME:	 petters@windcorp.thm
2022/08/05 23:59:30 >  [+] VALID USERNAME:	 LUIS@windcorp.thm
2022/08/05 23:59:33 >  [+] VALID USERNAME:	 FIRE@windcorp.thm
